,country_name,population,population_male,population_female,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,infant_mortality_rate,health_expenditure_usd,human_capital_index,life_expectancy
116,Kuwait,4270563,2614446,1656117,134761198945.0,32031.0,29.166667,47.6,17820.0,6.7,1529.077637,0.576,75.398
117,Kyrgyzstan,6524191,3227270,3296921,8454619607.0,1309.0,41.0,75.0,199950.0,16.9,78.822838,0.58,71.4
118,Laos,7275556,3651794,3623762,18173839128.0,2534.0,18.2,104.1,236800.0,37.6,62.124634,0.452,67.61
119,Latvia,1919968,884909,1035059,34398215400.0,17818.0,57.0,25.0,64490.0,3.3,930.352356,0.724,75.1
120,Lebanon,6825442,3435746,3389696,53367042272.0,7784.0,33.833333,35.766667,10450.0,6.4,719.443481,0.538,78.875
121,Lesotho,2142252,1056950,1085302,2460072443.0,1157.0,-29.55,28.25,30360.0,65.7,104.552795,0.371,53.705
122,Liberia,5057677,2542539,2515138,3070518100.0,621.0,6.533333,-9.75,111370.0,53.5,56.59903,0.319,63.73
123,Libya,6871287,3468737,3402550,272366406647.0152,15880.174133558749,27.0,17.0,566358.0693333333,15.000253592561284,1278.5230075883837,0.5989332264957266,75.85615345773456
124,Liechtenstein,38378,19025,19353,618004684413.1334,67868.40952380953,47.145,9.553889,88265.02222222222,2.8175824175824173,3974.8412568516483,0.7628831168831168,81.98131307692309
125,Lithuania,2794184,1295591,1498593,53411968400.0,19116.0,55.2,24.0,65286.0,3.3,1078.179199,0.712,76.0
126,Luxembourg,613894,308720,305174,70862634400.0,116348.0,49.77,6.13,2590.0,1.9,5782.628418,0.692,82.3
127,Macau,649342,312100,337242,1595581713197.2935,15766.93912911546,22.166667,113.55,979512.7448888889,18.504112554112552,407.70597567237314,0.608347498655191,74.32552861381475
128,Macedonia,2077132,1040200,1036932,282179091692.013,21440.584112924113,7.0,10.0,1214591.889382716,18.145371533228676,1568.5288980316711,0.5935544490231991,74.90119881311075
129,Madagascar,27691019,13814619,13876400,21703185691.923077,3851.3846153846152,-20.0,47.0,319992.8,37.38461538461539,200.89714007692308,0.4472307692307692,64.65083107692307
130,Malawi,19129955,9434037,9695918,7666704427.0,411.0,-13.0,34.0,118480.0,35.3,32.259384,0.407,63.798
131,Malaysia,32655400,16771000,15884400,364701517787.0,11414.0,3.780511,102.314362,330345.0,6.7,384.066071,0.622,75.997
132,Maldives,540542,342928,197614,432393299036.94586,9039.790468139918,4.18,73.51,571038.9953128748,27.439248327430146,368.88205869465753,0.5242692330680496,71.29308162858338
133,Mali,20250834,10145174,10105660,17510141171.0,890.0,17.0,-4.0,1240190.0,62.0,31.378105,0.317,58.893
134,Malta,493559,251836,241723,14606972200.0,30090.0,35.883333,14.5,320.0,6.1,2585.563965,0.701,82.5
135,Marshall Islands,59194,28373,27502,50982769586.66694,6685.371153846154,9.82,169.29,40323.3195654321,25.048348794063084,447.549989535436,0.4930938775510204,69.6883335227874
136,Martinique,375265,172607,202658,9682128260.01888,17644.694077134987,14.65,-61.015,5562.272221234569,15.04259595959596,653.7598957984053,0.5744916666666666,75.38979675732324
137,Mauritania,4649660,2334981,2314679,7593752450.0,1677.0,21.0,-11.0,1030700.0,51.5,48.817131,0.353,64.704
138,Mauritius,1271767,627480,644287,14180444557.0,11203.0,-20.2,57.5,2040.0,13.6,599.699768,0.626,74.416341
139,Mayotte,272813,134159,138654,21699609043.840237,3487.7988165680476,-12.843056,45.138333,264977.98666666663,35.191124260355025,176.16245362130172,0.44971005917159756,65.03058731360946
140,Mexico,110991953,54855231,57481307,1258286717124.0,9863.0,23.0,-102.0,1964375.0,11.0,494.677643,0.607,74.992
141,Micronesia,115021,58480,56541,596759448432.1165,12463.732692307693,12.0,152.0,95825.80352658436,21.60736239950526,1014.735466552953,0.5785818594104309,72.34655213409692
142,Moldova,4033963,1931953,2102010,11955435456.0,4498.0,47.25,28.516667,33850.0,13.6,191.185776,0.58,71.808
143,Monaco,39244,11648,12406,631376770109.1818,60688.55565862708,43.731111,7.42,96298.1525925926,2.9397252747252742,3853.031483394505,0.745275974025974,81.84376510848126
144,Mongolia,3278292,1615039,1663253,13852850259.0,4295.0,47.0,104.0,1564120.0,14.0,148.784454,0.626,69.689
145,Montenegro,622182,307712,314470,253542593373.4438,18646.745562130178,42.766667,19.216667,87649.736,3.857396449704143,1366.61830369697,0.6925486111111111,78.72962710059173
146,Montserrat,4999,2667,2678,16422828023.935545,18944.444077134984,16.75,-62.2,6107.223702650207,14.906855555555557,606.726717878246,0.5667899999999999,75.88196560347707
147,Morocco,36910558,18316887,18593671,118725279596.0,3204.0,32.0,-6.0,446550.0,19.2,161.010864,0.5,76.453
148,Mozambique,31255435,15188235,16067200,14934159925.0,491.0,-19.0,35.0,786380.0,54.0,21.071156,0.361,60.163
149,Myanmar,54409794,26220190,28189604,76085852617.0,1407.0,22.0,96.0,676590.0,36.8,58.043957,0.473,66.867
150,Namibia,2540916,1231683,1309233,12366527719.0,4957.0,-23.0,17.0,824290.0,29.0,447.28064,0.435,63.373
151,Nauru,10834,4785,5460,114326294796.25333,6250.86888111888,-0.533333,166.933333,50549.26110489986,24.471595266205657,483.48421808892596,0.502592542202066,71.3384647361971
152,Nepal,29136808,13348435,15788373,30641380604.0,1071.0,28.0,84.0,147180.0,26.7,47.915363,0.49,70.478
153,Netherlands,17282163,8581086,8701077,913366020000.0,52982.0,52.316667,5.55,41540.0,3.3,4911.44043,0.8,81.9
154,Netherlands Antilles,197041,98520,98520,20732853513.661823,19989.50908520384,15.0,-66.0,16237.897051935255,16.03474057457694,599.8001484959769,0.5380283333333332,75.90360109634968
155,New Caledonia,285491,143498,141993,32304536171.832767,7399.617625556261,-21.25,165.3,57128.12363909209,21.790182129951905,610.037682287676,0.5120106827916351,72.15052382287939
156,New Zealand,4822233,2370163,2452070,206928765543.0,42084.0,-41.2,174.0,267710.0,4.7,3937.221924,0.767,81.858537
157,Nicaragua,6624554,3264849,3359705,12520915291.0,1912.0,13.0,-85.0,130370.0,15.7,192.083389,0.531,74.275
158,Niger,24206636,12170165,12036471,12928145120.0,554.0,17.0,10.0,1267000.0,48.0,29.26165,0.316,62.024
159,Nigeria,206139587,104469637,101669950,448120428858.0,2229.0,9.0,8.0,923770.0,75.7,73.92498,0.342,54.332
160,Niue,1618,688,703,27730799031.25031,8766.157157878852,-19.05,-169.916667,26440.214455610254,19.870845252382765,750.0710881562286,0.5408139254220207,72.72490192329323
161,Norfolk Island,2188,938,1124,148575130315.60364,12330.714055379502,-29.033333,167.949722,546615.3461787389,17.104419234317135,1097.4554855506951,0.5557210396481825,73.79565343616781
162,North Korea,25778815,12608379,13170436,2091969291233.801,14040.024782045446,40.0,127.0,2159439.003437037,16.757555777555776,823.8083212870621,0.64209156228387,73.99819486191464
163,Northern Mariana Islands,57557,22286,19704,928301719139.7659,14940.644657445657,16.705,145.78,310666.9129533747,18.902414565953524,1048.4503868530626,0.5928282809271487,73.35920857050597
164,Norway,5328212,2685073,2643139,403336363636.0,75419.0,65.0,11.0,625217.0,2.1,7936.375,0.771,82.8
165,Oman,5106622,3370230,1736392,76983094928.0,15474.0,21.0,57.0,309500.0,9.8,587.646301,0.622,77.633
166,Pakistan,220892331,113672007,107220324,278221906022.0,1284.0,30.0,71.0,796100.0,57.2,44.592964,0.389,67.114
167,Palau,18092,14679,13759,998946397468.5265,14447.25326215645,7.466667,134.55,412523.41564681206,19.73725988838002,933.2720752880414,0.6074167675887009,73.65502729023852
168,Palestine,5101416,2586971,2514445,282179091692.013,21440.584112924113,7.0,10.0,1214591.889382716,18.145371533228676,1568.5288980316711,0.5935544490231991,74.90119881311075
169,Panama,4314768,2159880,2154888,64152147111.957306,9520.237992644394,8.616667,-80.366667,159782.54704285323,17.637230419153493,448.24803891754675,0.5274479797979799,74.67551464941583
170,Papua New Guinea,8947027,4568072,4378955,24969611434.0,2845.0,-6.3,147.0,462840.0,38.0,61.45784,0.384,64.263
171,Paraguay,7132530,3624360,3508170,38145288939.0,5414.0,-23.5,-58.0,406751.0,17.2,381.113068,0.533,74.131
172,Peru,29381884,14450757,14931127,226848050819.0,6977.0,-9.4,-76.0,1285220.0,11.1,332.570923,0.586,76.516
173,Philippines,100979303,51069962,49909341,376795508679.0,3485.0,12.0,123.0,300000.0,22.5,132.900986,0.548,71.095
174,Pitcairn Islands,50,25,25,79757890585.89787,10607.081860364122,-25.067781,-130.104578,196080.2435886274,15.630365011079865,910.4786652614803,0.5729694124089796,74.52164097904671
175,Poland,37972812,18380376,19592436,585705873800.0,15222.0,52.0,19.0,312680.0,3.8,906.820129,0.747,77.7
176,Portugal,10276617,4852366,5424251,240597516000.0,23364.0,38.7,-9.183333,92225.0,3.1,1908.033936,0.776,81.5
177,Puerto Rico,2860840,1355518,1505322,24193684337.344303,19245.74709719185,18.25,-66.5,12815.688677400347,19.062174028359152,567.7689096135109,0.5263095833333333,75.14918094693928
178,Qatar,2881060,2165135,715925,183466208791.0,64781.0,25.269535,51.212767,11610.0,5.8,1649.186157,0.615,80.1
179,Republic of the Congo,5518092,2756678,2761414,10820591130.0,2011.0,-0.75,15.383331,342000.0,36.2,49.983723,0.42,64.29
180,Romania,19414458,9500450,9914008,241475766400.0,12390.0,46.0,25.0,238400.0,6.1,555.104736,0.601,75.3
181,Russia,145934460,67640299,78294161,1699876578871.0,11584.0,66.416667,94.25,17098250.0,6.1,585.87323,0.729,72.657317
182,Rwanda,12952209,6367431,6584778,10122472590.0,801.0,-1.940278,29.873889,26340.0,27.0,49.204456,0.374,68.7
183,Réunion,895308,433301,462007,45640076492.96735,4307.526954364317,-21.114444,55.5325,289573.3397933451,37.26906588779489,220.94694536552853,0.45646510987070427,64.59113733154507
